TABLE	NV3_DUAL_EX_BP_V2_004781				
WAVE	0.687	1.00E+00	1.00E+00	1.03E-13	1.03E-13
WAVE	0.688	1.00E+00	1.00E+00	9.40E-14	9.40E-14
WAVE	0.689	1.00E+00	1.00E+00	9.36E-15	9.36E-15
WAVE	0.69	1.00E+00	1.00E+00	3.70E-15	3.70E-15
WAVE	0.691	1.00E+00	1.00E+00	2.48E-15	2.48E-15
WAVE	0.692	1.00E+00	1.00E+00	2.45E-15	2.45E-15
WAVE	0.693	1.00E+00	1.00E+00	3.61E-15	3.61E-15
WAVE	0.694	1.00E+00	1.00E+00	1.00E-14	1.00E-14
WAVE	0.695	1.00E+00	1.00E+00	4.34E-13	4.34E-13
WAVE	0.696	1.00E+00	1.00E+00	1.99E-14	1.99E-14
WAVE	0.697	1.00E+00	1.00E+00	4.97E-15	4.97E-15
WAVE	0.698	1.00E+00	1.00E+00	2.93E-15	2.93E-15
WAVE	0.699	1.00E+00	1.00E+00	2.69E-15	2.69E-15
WAVE	0.7	1.00E+00	1.00E+00	3.56E-15	3.56E-15
WAVE	0.701	1.00E+00	1.00E+00	7.35E-15	7.35E-15
WAVE	0.702	1.00E+00	1.00E+00	3.62E-14	3.62E-14
WAVE	0.703	1.00E+00	1.00E+00	9.35E-13	9.35E-13
WAVE	0.704	1.00E+00	1.00E+00	2.87E-14	2.87E-14
WAVE	0.705	1.00E+00	1.00E+00	1.40E-14	1.40E-14
WAVE	0.706	1.00E+00	1.00E+00	1.44E-14	1.44E-14
WAVE	0.707	1.00E+00	1.00E+00	3.03E-14	3.03E-14
WAVE	0.708	1.00E+00	1.00E+00	4.98E-13	4.98E-13
WAVE	0.709	1.00E+00	1.00E+00	7.29E-14	7.29E-14
WAVE	0.71	1.00E+00	1.00E+00	1.36E-14	1.36E-14
WAVE	0.711	1.00E+00	1.00E+00	6.56E-15	6.56E-15
WAVE	0.712	1.00E+00	1.00E+00	4.81E-15	4.81E-15
WAVE	0.713	1.00E+00	1.00E+00	4.68E-15	4.68E-15
WAVE	0.714	1.00E+00	1.00E+00	5.85E-15	5.85E-15
WAVE	0.715	1.00E+00	1.00E+00	9.50E-15	9.50E-15
WAVE	0.716	1.00E+00	1.00E+00	2.19E-14	2.19E-14
WAVE	0.717	1.00E+00	1.00E+00	9.83E-14	9.83E-14
WAVE	0.718	1.00E+00	1.00E+00	1.90E-10	1.90E-10
WAVE	0.719	1.00E+00	1.00E+00	1.98E-13	1.98E-13
WAVE	0.72	1.00E+00	1.00E+00	7.59E-14	7.59E-14
WAVE	0.721	1.00E+00	1.00E+00	5.92E-14	5.92E-14
WAVE	0.722	1.00E+00	1.00E+00	6.68E-14	6.68E-14
WAVE	0.723	1.00E+00	1.00E+00	1.00E-13	1.00E-13
WAVE	0.724	1.00E+00	1.00E+00	1.99E-13	1.99E-13
WAVE	0.725	1.00E+00	1.00E+00	5.63E-13	5.63E-13
WAVE	0.726	1.00E+00	1.00E+00	2.91E-12	2.91E-12
WAVE	0.727	1.00E+00	1.00E+00	1.99E-10	1.99E-10
WAVE	0.728	1.00E+00	1.00E+00	2.26E-11	2.26E-11
